Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1730723561.4483516,96401,1730723561,448014021,imu_link,0.0,0.0,-0.7621036088037377,0.6474550868194021,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.05061454830783556,0.08203047484373349,-0.9389871375729493,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.17,0.4,11.49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.4573514,96402,1730723561,456862688,imu_link,0.0,0.0,-0.7654832134930881,0.6434558647337789,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.05061454830783556,-0.02617993877991494,-0.9913470151327791,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.43,-1.31,8.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.467974,96403,1730723561,467682838,imu_link,0.0,0.0,-0.7682835235935234,0.6401096994849554,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.06283185307179587,-0.006981317007977318,-0.9704030641088471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.1,-0.81,9.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.4774637,96404,1730723561,476930380,imu_link,0.0,0.0,-0.77162458338772,0.636078220277764,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.027925268031909273,0.012217304763960306,-0.9930923443847736,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.33,-0.88,11.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.488023,96405,1730723561,487671137,imu_link,0.0,0.0,-0.7749444887041795,0.6320293026648509,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.07504915783575616,0.003490658503988659,-1.0053096491487339,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.35,-0.72,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.4976747,96406,1730723561,497255564,imu_link,0.0,0.0,-0.778243148526021,0.6279630576493379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.003490658503988659,0.041887902047863905,-1.0140362954087054,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.1,-0.4,9.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.5083914,96407,1730723561,507943153,imu_link,0.0,0.0,-0.7815204724188187,0.6238795967093862,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.03839724354387525,-0.03839724354387525,-1.0524335389525805,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-1.5,11.03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.5177083,96408,1730723561,516986847,imu_link,0.0,0.0,-0.7847763705330829,0.6197790317951403,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.027925268031909273,0.017453292519943295,-1.0367255756846319,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.09,0.3,8.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.528178,96409,1730723561,527812481,imu_link,0.0,0.0,-0.7880107536067219,0.6156614753256583,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.029670597283903602,-0.006981317007977318,-1.048942880448592,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.07,0.19,10.66,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723561.550168,96410,1730723561,536956549,imu_link,0.0,0.0,-0.79122353296749,0.6115270401858311,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.08028514559173915,-0.05235987755982988,-1.0768681484805014,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.7,-1.88,10.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
